SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,450,200.00","2,021,070,313,450,500.00",Asi 2 - TS Synchronization,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,450,200.00","2,021,070,313,450,500.00",Asi 2 - Physical Link,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,450,800.00","2,021,070,313,451,100.00",GPS - Internal clock locked,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,414,900.00","2,021,070,313,450,500.00",Asi 1 - Physical Link,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,314,152,500.00","2,021,070,314,173,200.00",RF Presence Status,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,613,330,600.00","2,021,070,613,343,500.00",RF Presence Status,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,619,151,200.00","2,021,070,619,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,707,151,200.00","2,021,070,707,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,607,151,300.00","2,021,070,607,153,300.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,611,151,200.00","2,021,070,611,151,700.00",FWD Power,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",Munghana lonene Rf Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",Power Rf Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",Chai Pilot Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",Hotfm Pilot Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,293,600.00",Ikwekwezi Rds Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,293,600.00",Lotus Rds Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,293,600.00",Phalaphala Rds Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,293,600.00",Chai Right Audio Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,293,600.00",SAFM Right Audio Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",Chai Mpx Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",HotFM Mpx Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,052,700.00","2,021,070,217,294,900.00",Safm Mpx Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,518,255,600.00","2,021,070,518,293,700.00",SAFM Right Audio Status,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,406,361,900.00","2,021,070,406,400,100.00",SAFM Left Audio Status,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,406,361,900.00","2,021,070,406,400,100.00",SAFM Right Audio Status,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,406,363,200.00","2,021,070,406,401,400.00",Safm Mpx Status,2
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,410,335,300.00","2,021,070,410,392,100.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,410,335,300.00","2,021,070,410,392,100.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,100,524,400.00","2,021,070,100,581,500.00",Dvbt2 Level,0
