National Site ;;;;
Operation Centre;Region;Provence;Type TX;Site Name
;Northern Region;Mpumalanga;High Power;NELSPRUIT
;Northern Region;Mpumalanga;High Power;NELSPRUIT
;Northern Region;Mpumalanga;Low Power;SABIE
;;;;
Polokwane;Northern Region;Mpumalanga;High Power;HOEDSPRUIT
;Northern Region;Mpumalanga;High Power;HOEDSPRUIT
;Northern Region;Limpopo;High Power;LOUIS TRICHARDT
;Northern Region;Limpopo;High Power;LOUIS TRICHARDT
;Northern Region;Limpopo;Gap Filler;NYLSTROOM
;Northern Region;Limpopo;High Power;POTGIETERSRUS
;Northern Region;Limpopo;High Power;POTGIETERSRUS
;Northern Region;Limpopo;High Power;SIBASA
;Northern Region;Limpopo;High Power;SIBASA
;Northern Region;Limpopo;High Power;THABAZIMBI
;Northern Region;Limpopo;High Power;THABAZIMBI
;Northern Region;Limpopo;High Power;TOLWE
;Northern Region;Limpopo;High Power;TSHAMAVUDZI
;Northern Region;Limpopo;High Power;TZANEEN
;Northern Region;Limpopo;High Power;TZANEEN
;;;;
Cape Town;Western Region;Western Cape;Gap Filler;AURORA
;Western Region;Western Cape;Gap Filler;AURORA
;Western Region;Western Cape;Gap Filler;CERES
;Western Region;Western Cape;Gap Filler;CLIFTON
;Western Region;Western Cape;Gap Filler;CLIFTON
;Western Region;Western Cape;High Power;CONSTANTIABERG
;Western Region;Western Cape;High Power;CONSTANTIABERG
;Western Region;Western Cape;Gap Filler;FISHHOEK
;Western Region;Western Cape;Gap Filler;FISHHOEK
;Western Region;Western Cape;Gap Filler;GRABOUW
;Western Region;Western Cape;Gap Filler;GRABOUW
;Western Region;Western Cape;Low Power;HERMANUS
;Western Region;Western Cape;Gap Filler;HEXRIVIER
;Western Region;Western Cape;Gap Filler;HOUT BAY
;Western Region;Western Cape;Gap Filler;HOUT BAY
;Western Region;Western Cape;Gap Filler;KLEINMOND
;Western Region;Western Cape;High Power;MATJIESFONTEIN
;Western Region;Western Cape;Gap Filler;MONTAGU
;Western Region;Western Cape;High Power;NAPIER
;Western Region;Western Cape;High Power;PAARL
;Western Region;Western Cape;High Power;PAARL
;Western Region;Western Cape;High Power;PIKETBERG
;Western Region;Western Cape;High Power;PIKETBERG
;Western Region;Western Cape;Gap Filler;SEA POINT
;Western Region;Western Cape;Gap Filler;SEA POINT
;Western Region;Western Cape;Gap Filler;SIMONSTOWN
;Western Region;Western Cape;Gap Filler;SIMONSTOWN
;Western Region;Western Cape;Gap Filler;STELLENBOSCH
;Western Region;Western Cape;Gap Filler;STELLENBOSCH
;Western Region;Western Cape;Gap Filler;TABLE MOUNTAIN
;Western Region;Western Cape;Gap Filler;TABLE MOUNTAIN
;Western Region;Western Cape;Gap Filler;TOUWSRIVIER
;Western Region;Western Cape;High Power;TYGERBERG
;Western Region;Western Cape;High Power;TYGERBERG
;Western Region;Western Cape;High Power;VILLIERSDORP
;Western Region;Western Cape;High Power;VILLIERSDORP
;;;;
George;Western Region;Western Cape;High Power;GEORGE
;Western Region;Western Cape;High Power;GEORGE
;Western Region;Western Cape;Low Power;GROOT BRAKRIVIER
;Western Region;Western Cape;Gap Filler;KNYSNA
;Western Region;Western Cape;High Power;LADISMITH CAPE
;Western Region;Western Cape;High Power;OUDTSHOORN
;Western Region;Western Cape;High Power;OUDTSHOORN
;Western Region;Western Cape;Low Power;PLETTENBERG BAY
;Western Region;Western Cape;Low Power;PLETTENBERG BAY
;Western Region;Western Cape;High Power;RIVERSDALE
;;;;
upington;Western Region;Northern Cape;High Power;DOUGLAS
;Western Region;Northern Cape;Low Power;KURUMAN
;Western Region;Northern Cape;High Power;KURUMAN HILLS
;Western Region;Northern Cape;High Power;KURUMAN HILLS
